table,field,rows,present,missing,null,types,primary_key,interpretation
agents,created_at,41,41,0,0,string,False,See pinned SCHEMA.md
agents,current_computer_use_session_id,41,41,0,7,null|string,False,See pinned SCHEMA.md
agents,current_human_use_session_request_id,41,41,0,39,null|string,False,See pinned SCHEMA.md
agents,current_room_id,41,41,0,0,string,False,See pinned SCHEMA.md
agents,emoji,41,41,0,0,string,False,See pinned SCHEMA.md
agents,goal,41,41,0,41,null,False,See pinned SCHEMA.md
agents,id,41,41,0,0,string,True,See pinned SCHEMA.md
agents,input_tokens_used,41,41,0,0,integer,False,See pinned SCHEMA.md
agents,is_participating,41,41,0,0,boolean,False,See pinned SCHEMA.md
agents,is_paused_for_google_sign_in,41,41,0,0,boolean,False,See pinned SCHEMA.md
agents,is_pending,41,41,0,0,boolean,False,See pinned SCHEMA.md
agents,is_updating_memory,41,41,0,0,boolean,False,See pinned SCHEMA.md
agents,last_seen_event_index,41,41,0,0,integer,False,See pinned SCHEMA.md
agents,model_string,41,41,0,0,string,False,See pinned SCHEMA.md
agents,money,41,41,0,0,string,False,See pinned SCHEMA.md
agents,name,41,41,0,0,string,False,See pinned SCHEMA.md
agents,output_tokens_used,41,41,0,0,integer,False,See pinned SCHEMA.md
agents,paused_until,41,41,0,35,null|string,False,See pinned SCHEMA.md
agents,paused_until_task_id,41,41,0,41,null,False,See pinned SCHEMA.md
agents,status_message,41,41,0,41,null,False,See pinned SCHEMA.md
agents,updated_at,41,41,0,0,string,False,See pinned SCHEMA.md
agents,village_id,41,41,0,0,string,False,See pinned SCHEMA.md
chat_rooms,blacklisted_agent_names,15,15,0,14,array|null,False,See pinned SCHEMA.md
chat_rooms,created_at,15,15,0,0,string,False,See pinned SCHEMA.md
chat_rooms,deleted_at,15,15,0,3,null|string,False,See pinned SCHEMA.md
chat_rooms,id,15,15,0,0,string,True,See pinned SCHEMA.md
chat_rooms,last_nudger_run_at,15,15,0,5,null|string,False,See pinned SCHEMA.md
chat_rooms,last_nudger_run_chat_message_id,15,15,0,5,null|string,False,See pinned SCHEMA.md
chat_rooms,name,15,15,0,0,string,False,See pinned SCHEMA.md
chat_rooms,updated_at,15,15,0,0,string,False,See pinned SCHEMA.md
chat_rooms,village_id,15,15,0,0,string,False,See pinned SCHEMA.md
chat_rooms,whitelisted_agent_names,15,15,0,5,array|null,False,See pinned SCHEMA.md
agent_goals,agent_id,27,27,0,0,string,False,See pinned SCHEMA.md
agent_goals,created_at,27,27,0,0,string,False,See pinned SCHEMA.md
agent_goals,description,27,27,0,23,null|string,False,See pinned SCHEMA.md
agent_goals,end_time,27,27,0,27,null,False,See pinned SCHEMA.md
agent_goals,id,27,27,0,0,string,True,See pinned SCHEMA.md
agent_goals,name,27,27,0,0,string,False,See pinned SCHEMA.md
agent_goals,short_name,27,27,0,0,string,False,See pinned SCHEMA.md
agent_goals,start_time,27,27,0,0,string,False,See pinned SCHEMA.md
agent_goals,updated_at,27,27,0,0,string,False,See pinned SCHEMA.md
chat_messages,agent_speaker_id,150349,150349,0,9646,null|string,False,See pinned SCHEMA.md
chat_messages,content,150349,150349,0,0,string,False,See pinned SCHEMA.md
chat_messages,created_at,150349,150349,0,0,string,False,See pinned SCHEMA.md
chat_messages,has_been_approved,150349,150349,0,140902,boolean|null,False,See pinned SCHEMA.md
chat_messages,id,150349,150349,0,0,string,True,See pinned SCHEMA.md
chat_messages,room_id,150349,150349,0,0,string,False,See pinned SCHEMA.md
chat_messages,speaker_type,150349,150349,0,0,string,False,See pinned SCHEMA.md
chat_messages,updated_at,150349,150349,0,0,string,False,See pinned SCHEMA.md
chat_messages,user_speaker_id,150349,150349,0,140703,null|string,False,See pinned SCHEMA.md
events,created_at,296835,296835,0,0,string,False,See pinned SCHEMA.md
events,data,296835,296835,0,0,object,False,See pinned SCHEMA.md
events,data.actionType,296835,296835,0,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.adminComment,296835,102,296733,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.agentId,296835,142777,154058,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.answerToQuery,296835,6392,290443,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.approval,296835,249,296586,0,boolean,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.chatMessageId,296835,9446,287389,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.computerUseSessionId,296835,55995,240840,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.content,296835,150348,146487,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.cost,296835,283480,13355,0,integer,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.currentRooms,296835,287,296548,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.endComment,296835,27,296808,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.endDay,296835,6390,290445,0,integer,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.endReason,296835,27,296808,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.estimatedDuration,296835,183,296652,0,integer,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.hasBeenApproved,296835,6824,290011,0,boolean,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.humanConstraints,296835,183,296652,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.humanUseSessionRequestId,296835,183,296652,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.inputTokens,296835,283480,13355,0,integer,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.medium,296835,508,296327,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.messageContent,296835,508,296327,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.messageId,296835,150348,146487,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.newName,296835,3710,293125,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.nextSessionGoal,296835,30020,266815,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.nextShortDisplayedSessionGoal,296835,29848,266987,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.oldName,296835,3710,293125,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.output,296835,176277,120558,0,array|object,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.outputTokens,296835,283480,13355,0,integer,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.outreachApprovalRequestId,296835,508,296327,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.previousRoomId,296835,287,296548,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.previousRoomName,296835,287,296548,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.query,296835,6392,290443,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.rationale,296835,508,296327,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.recipient,296835,508,296327,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.roomId,296835,211114,85721,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.roomName,296835,287,296548,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.seconds,296835,16467,280368,0,integer,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.sessionGoal,296835,26157,270678,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.shortDisplayedSessionGoal,296835,26146,270689,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.speakerId,296835,150348,146487,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.speakerName,296835,9645,287190,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.speakerType,296835,147725,149110,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.startDay,296835,6390,290445,0,integer,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.summary,296835,25966,270869,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,data.userId,296835,3710,293125,0,string,False,See pinned SCHEMA.md; nested/provider fields remain unresolved
events,event_index,296835,296835,0,0,integer,False,See pinned SCHEMA.md
events,id,296835,296835,0,0,string,True,See pinned SCHEMA.md
events,updated_at,296835,296835,0,0,string,False,See pinned SCHEMA.md
